№, Photo, Name, Position, Date of birth, Football team
1, https://upload.wikimedia.org/wikipedia/commons/e/e4/Gabriel_batistuta.jpg, Gabriel Batistuta, FW, 1969-02-01, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
2, https://upload.wikimedia.org/wikipedia/commons/e/e2/Hernan.png, Hernán Crespo, FW, 1975-07-05, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
3, https://upload.wikimedia.org/wikipedia/commons/b/bb/Mcu_Alfredo_Di_Stefano.jpg, Alfredo Di Stéfano, FW, 1926-07-04, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
4, https://upload.wikimedia.org/wikipedia/commons/d/db/Mario_Kempes_2006.jpg, Mario Kempes, FW, 1954-07-15, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
5, https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Maradona_at_2012_GCC_Champions_League_final.JPG/228px-Maradona_at_2012_GCC_Champions_League_final.JPG, Diego Maradona, FW/MF, 1960-10-30, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
6, https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Passarella_world_cup.jpg/362px-Passarella_world_cup.jpg, Daniel Passarella, DF, 1953-05-25, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
